a_m=0.0493,b_m=0.0254,c_m=0.0423,d_m=0.0058
time_s,source_pressure_pa,receiver_pressure_pa,piezo_voltage_v,piezo_voltage_envelope_v
1.8654545454545458e-06,816.7033165484278,1043.9893090491362,0.0035743702396135515,0.0043117412547321625
1.8736363636363638e-06,874.7015465196002,1182.6855933243155,0.004003899575562413,0.00453953628714157
1.881818181818182e-06,926.6991141361881,1321.3193284807137,0.004423346443369432,0.004778316544135437
1.8900000000000003e-06,971.1093332663831,1457.6733115854674,0.004825609175899063,0.005028552108958517
1.8981818181818184e-06,1006.2684701496046,1589.2836266954816,0.005203098234815706,0.0052907299923968315
1.9063636363636366e-06,1030.4534147269949,1713.4492582482987,0.005547799573891627,0.005565354581582689
1.914545454545455e-06,1041.9024655916628,1827.2468590033207,0.00585135083432455,0.005852948092668978
1.922727272727273e-06,1038.8392452026985,1927.5510438223232,0.006105130460842321,0.006154051026951006
1.9309090909090914e-06,1019.4997099697903,2011.0605286966716,0.0063003596317754195,0.006469222629985989
1.9390909090909092e-06,982.1621624470093,2074.330370823274,0.00642821668361436,0.006799041353233642
1.9472727272727275e-06,925.1801106022855,2113.810489999538,0.006479963482708815,0.007144105317714625
1.9554545454545458e-06,847.0177525185584,2125.890564143162,0.006447082956009296,0.007505032779152739
1.963636363636364e-06,746.2877946392135,2106.951292557601,0.006321426741842852,0.007882462594040665
1.9718181818181823e-06,621.7912386453164,2053.421910109565,0.006095371663802818,0.008277054686037105
1.98e-06,472.5586972383126,1961.8437144689394,0.005761983469491702,0.008689490512077444
1.9881818181818184e-06,297.8927236346859,1828.9392379642175,0.005315186015025307,0.009120473527544411
1.9963636363636366e-06,97.41056472768625,1651.6865566916395,0.004749933820204698,0.009570729649823955
2.004545454545455e-06,-128.91332496978626,1427.398083838457,0.004062385672683226,0.010041007719531215
2.012727272727273e-06,-380.7057408079447,1153.8030435885748,0.0032500767271919574,0.010532079958667659
2.0209090909090914e-06,-657.1549533121965,829.1326686120501,0.0023120863329993235,0.011044742424940168
2.0290909090909092e-06,-956.9735551156567,452.2070104213985,0.0012491986344869408,0.011579815461435047
2.0372727272727275e-06,-1278.3648321433554,22.522100498680288,6.405283128609735e-05,0.012138144140819837
2.0454545454545457e-06,-1618.9936002041657,-459.66394600356654,-0.0012387201389258671,0.012720598703203205
2.053636363636364e-06,-1975.9624745884812,-993.2474298498025,-0.0026523778149894796,0.013328074986762686
2.0618181818181823e-06,-2345.794552895074,-1576.1998423478997,-0.0041679666822149975,0.013961494850212045
2.0700000000000005e-06,-2724.4234884532357,-2205.4946973931173,-0.0057742462440253115,0.014621806586152966
2.0781818181818183e-06,-3107.191911806057,-2877.042295100548,-0.007457639975991687,0.015309985324325008
2.0863636363636366e-06,-3488.85911936323,-3585.634360541488,-0.009202216319812925,0.01602703342373471
2.094545454545455e-06,-3863.6188902853582,-4324.900544410374,-0.01098970269109775,0.01677398085261967
2.102727272727273e-06,-4225.128213926453,-5087.278786236099,-0.012799535228273642,0.017551885555169556
2.1109090909090914e-06,-4566.547609998047,-5864.001521692585,-0.014608946699149312,0.018361833803900104
2.119090909090909e-06,-4880.593601601798,-6645.099660582766,-0.016393094606062506,0.01920494053654194
2.1272727272727275e-06,-5159.603757323928,-7419.426168419655,-0.01812523109068566,0.020082349676290596
2.1354545454545457e-06,-5395.614552992814,-8174.7009498705265,-0.019776915737009418,0.02099523443421761
2.143636363636364e-06,-5580.452117184094,-8897.578554822925,-0.02131827180856758,0.021944797592638406
