time_s,transmit_positive,transmit_negative,measured_positive,measured_negative,pulse_inversion_half_sum,recovered_harmonic,validation_true_nonlinear
1.6575e-05,1.8844237740787403e-80,-1.8844237740787403e-80,0.01586709479385253,0.005736816116794272,0.0108019554553234,0.0108019554553234,-0.00046979036648794463
1.66e-05,8.492732031377723e-81,-8.492732031377723e-81,-0.009076070587470168,0.001745641958617877,-0.0036652143144261457,-0.0036652143144261457,-0.0004697904327271522
1.6625e-05,3.414880611962189e-81,-3.414880611962189e-81,-0.0248978576944121,0.02361028560376839,-0.0006437860453218543,-0.0006437860453218543,-0.0004697904993628012
1.665e-05,1.2388837128543446e-81,-1.2388837128543446e-81,-0.004562760483729277,0.012692772962794897,0.00406500623953281,0.00406500623953281,-0.00046979056639522975
1.6675e-05,4.0100041250610385e-82,-4.0100041250610385e-82,-0.028964300488457963,0.00891222287883262,-0.010026038804812672,-0.010026038804812672,-0.0004697906338247754
1.67e-05,1.1058165380359742e-82,-1.1058165380359742e-82,0.015914937210653905,0.0014421998473802564,0.008678568529017081,0.008678568529017081,-0.00046979070165178885
1.6725e-05,2.2010922465958093e-83,-2.2010922465958093e-83,-0.0034320982925455795,-0.018912153845936718,-0.011172126069241149,-0.011172126069241149,-0.00046979076987661785
1.675e-05,2.2405051626955413e-97,-2.2405051626955413e-97,0.0014461466759003276,-0.005491729081546013,-0.0020227912028228426,-0.0020227912028228426,-0.00046979083849962063
1.6775e-05,-3.1315835586064813e-84,3.1315835586064813e-84,-0.042193612494773575,0.02214595326306132,-0.010023829615856128,-0.010023829615856128,-0.0004697909075211488
1.68e-05,-2.2383840438228853e-84,2.2383840438228853e-84,0.015376534898731182,-0.01967504662585693,-0.002149255863562874,-0.002149255863562874,-0.0004697909769415504
1.6825e-05,-1.1548407503692903e-84,1.1548407503692903e-84,0.0021804995324169914,-0.03124487968045667,-0.01453219007401984,-0.01453219007401984,-0.0004697910467611645
1.685e-05,-5.076139920447786e-85,5.076139920447786e-85,0.00966174710618061,0.0016727557757205838,0.005667251440950597,0.005667251440950597,-0.0004697911169803308
1.6875e-05,-1.990693169553993e-85,1.990693169553993e-85,0.015899183090331132,-0.030893909208062117,-0.007497363058865492,-0.007497363058865492,-0.0004697911875993876
1.69e-05,-7.043718364901788e-86,7.043718364901788e-86,-0.011855550513239024,-0.014701173357071082,-0.013278361935155053,-0.013278361935155053,-0.0004697912586186929
