a_m=0.009246010048290298,b_m=0.002648018873008202,c_m=0.008575913291890601
time_s,source_pressure_pa,receiver_pressure_pa,receiver_envelope_pa
2.2663636363636366e-06,0.0025009602527433315,-0.0017634403417569264,0.01052021545749585
2.274545454545455e-06,0.003902867302254546,-0.000723726718593146,0.011053223788796893
2.282727272727273e-06,0.0053930133222914916,0.00043372820808246595,0.011610080892800327
2.2909090909090913e-06,0.006959051393595584,0.0017043220766569226,0.012191860434315235
2.2990909090909096e-06,0.008586340736082809,0.0030813460238043847,0.012799306514753377
2.3072727272727274e-06,0.010257947138658517,0.004555881343677707,0.013433536627240063
2.3154545454545457e-06,0.011954678358160414,0.006116720221117549,0.014095351753858804
2.323636363636364e-06,0.013655157117224889,0.00775031402256693,0.014785906916779504
2.331818181818182e-06,0.01533593396441178,0.009440752503344807,0.015506067707127903
2.3400000000000005e-06,0.016971641824145685,0.011169777098329916,0.016257020809576864
